read_utc,source,label,endpoint,query,http_status,rows_or_bytes,output
2026-09-26T17:18:10Z,ClickPy (ClickHouse public demo),C01 schema,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT name, engine, total_rows, create_table_query FROM system.tables WHERE database = 'pypi' ORDER BY name FORMAT CSVWithNames",200,40,clickpy_schema.csv
2026-09-26T17:18:12Z,ClickPy (ClickHouse public demo),C02 coverage,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT project, min(min_date) AS first_day, max(max_date) AS last_day FROM pypi.pypi_downloads_max_min WHERE project IN ('mcp','agentcrew-ai','databricks-tellr-app','lean-lsp-mcp','pyp6xer-mcp','serena-agent','dartlab','mistral-vibe','octobot','jesse') GROUP BY project ORDER BY project FORMAT CSVWithNames",200,10,clickpy_coverage.csv
2026-09-26T17:18:13Z,ClickPy (ClickHouse public demo),C03 uploads,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT name AS project, version, min(upload_time) AS first_upload_utc, groupUniqArray(packagetype) AS file_types FROM pypi.projects WHERE name IN ('mcp', 'lean-lsp-mcp') GROUP BY name, version ORDER BY name, first_upload_utc FORMAT CSVWithNames",200,79,clickpy_uploads.csv
2026-09-26T17:18:14Z,ClickPy (ClickHouse public demo),C04 mcp daily totals,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT date, count AS downloads FROM (SELECT date, sum(count) AS count FROM pypi.pypi_downloads_per_day WHERE project = 'mcp' AND date BETWEEN '2026-01-17' AND '2026-09-25' GROUP BY date) ORDER BY date FORMAT CSVWithNames",200,252,clickpy_mcp_daily_total.csv
2026-09-26T17:18:16Z,ClickPy (ClickHouse public demo),C05a mcp by version,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT date, version, sum(count) AS downloads FROM pypi.pypi_downloads_per_day_by_version WHERE project = 'mcp' AND date BETWEEN '2026-03-19' AND '2026-04-29' GROUP BY date, version ORDER BY date, version FORMAT CSVWithNames",200,2266,clickpy_mcp_daily_by_version_window.csv
2026-09-26T17:18:17Z,ClickPy (ClickHouse public demo),C05b mcp by version,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT date, version, sum(count) AS downloads FROM pypi.pypi_downloads_per_day_by_version WHERE project = 'mcp' AND date BETWEEN '2026-01-17' AND '2026-02-27' GROUP BY date, version ORDER BY date, version FORMAT CSVWithNames",200,2220,clickpy_mcp_daily_by_version_contrast.csv
2026-09-26T17:18:18Z,ClickPy (ClickHouse public demo),C05c mcp by version,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT date, version, sum(count) AS downloads FROM pypi.pypi_downloads_per_day_by_version WHERE project = 'mcp' AND date BETWEEN '2026-06-27' AND '2026-09-25' GROUP BY date, version ORDER BY date, version FORMAT CSVWithNames",200,6062,clickpy_mcp_daily_by_version_pepy_overlap.csv
2026-09-26T17:18:19Z,ClickPy (ClickHouse public demo),C06a mcp by installer and type,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT date, multiIf(version = '1.27.0', '1.27.0', version = '1.26.0', '1.26.0', version = '1.25.0', '1.25.0', version = '1.26.1', '1.26.1', 'other') AS version_class, installer, type, sum(count) AS downloads FROM pypi.pypi_downloads_per_day_by_version_by_installer_by_type WHERE project = 'mcp' AND date BETWEEN '2026-03-19' AND '2026-04-29' GROUP BY date, version_class, installer, type ORDER BY date, version_class, installer, type FORMAT CSVWithNames",200,1816,clickpy_mcp_daily_by_installer_window.csv
2026-09-26T17:18:21Z,ClickPy (ClickHouse public demo),C06b mcp by installer and type,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT date, multiIf(version = '1.27.0', '1.27.0', version = '1.26.0', '1.26.0', version = '1.25.0', '1.25.0', version = '1.26.1', '1.26.1', 'other') AS version_class, installer, type, sum(count) AS downloads FROM pypi.pypi_downloads_per_day_by_version_by_installer_by_type WHERE project = 'mcp' AND date BETWEEN '2026-01-17' AND '2026-02-27' GROUP BY date, version_class, installer, type ORDER BY date, version_class, installer, type FORMAT CSVWithNames",200,1465,clickpy_mcp_daily_by_installer_contrast.csv
2026-09-26T17:18:22Z,ClickPy (ClickHouse public demo),C07 mcp by ci flag,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT date, multiIf(version = '1.27.0', '1.27.0', version = '1.26.0', '1.26.0', version = '1.25.0', '1.25.0', version = '1.26.1', '1.26.1', 'other') AS version_class, installer, toString(ci) AS ci, count() AS downloads FROM pypi.pypi WHERE project = 'mcp' AND date BETWEEN '2026-03-19' AND '2026-04-29' GROUP BY date, version_class, installer, ci ORDER BY date, version_class, installer, ci FORMAT CSVWithNames",200,1969,clickpy_mcp_daily_by_ci_window.csv
